(0,0)	 deðer=3	 durum=bos
(0,1)	 deðer=6	 durum=bos
(0,2)	 deðer=8	 durum=bos
(0,3)	 deðer=6	 durum=bos
(0,4)	 deðer=7	 durum=bos
(0,5)	 deðer=3	 durum=duvar
(0,6)	 deðer=2	 durum=bos
(0,7)	 deðer=7	 durum=duvar
(0,8)	 deðer=1	 durum=bos
(0,9)	 deðer=4	 durum=bos
(0,10)	 deðer=9	 durum=bos
(0,11)	 deðer=7	 durum=bos
(0,12)	 deðer=2	 durum=bos
(0,13)	 deðer=4	 durum=bos
(0,14)	 deðer=7	 durum=bos
(0,15)	 deðer=5	 durum=duvar
(0,16)	 deðer=6	 durum=bos
(0,17)	 deðer=1	 durum=bos
(0,18)	 deðer=5	 durum=bos
(0,19)	 deðer=5	 durum=bos
(0,20)	 deðer=1	 durum=duvar
(0,21)	 deðer=6	 durum=bos
(0,22)	 deðer=9	 durum=bos
(0,23)	 deðer=8	 durum=bos
(0,24)	 deðer=7	 durum=bos
(0,25)	 deðer=8	 durum=bos
(0,26)	 deðer=6	 durum=bos
(0,27)	 deðer=6	 durum=duvar
(0,28)	 deðer=1	 durum=duvar
(0,29)	 deðer=2	 durum=bos
(0,30)	 deðer=4	 durum=duvar
(0,31)	 deðer=8	 durum=bos
(0,32)	 deðer=5	 durum=bos
(0,33)	 deðer=1	 durum=bos
(0,34)	 deðer=7	 durum=bos
(0,35)	 deðer=8	 durum=duvar
(0,36)	 deðer=7	 durum=duvar
(0,37)	 deðer=6	 durum=duvar
(0,38)	 deðer=6	 durum=bos
(0,39)	 deðer=9	 durum=duvar
(0,40)	 deðer=6	 durum=duvar
(0,41)	 deðer=3	 durum=bos
(0,42)	 deðer=2	 durum=bos
(0,43)	 deðer=5	 durum=bos
(0,44)	 deðer=4	 durum=bos
(0,45)	 deðer=2	 durum=bos
(0,46)	 deðer=5	 durum=duvar
(0,47)	 deðer=6	 durum=bos
(0,48)	 deðer=5	 durum=duvar
(0,49)	 deðer=1	 durum=bos
(1,0)	 deðer=9	 durum=bos
(1,1)	 deðer=1	 durum=duvar
(1,2)	 deðer=6	 durum=bos
(1,3)	 deðer=8	 durum=bos
(1,4)	 deðer=2	 durum=duvar
(1,5)	 deðer=5	 durum=bos
(1,6)	 deðer=9	 durum=duvar
(1,7)	 deðer=5	 durum=bos
(1,8)	 deðer=2	 durum=bos
(1,9)	 deðer=2	 durum=bos
(1,10)	 deðer=7	 durum=bos
(1,11)	 deðer=2	 durum=bos
(1,12)	 deðer=9	 durum=duvar
(1,13)	 deðer=3	 durum=bos
(1,14)	 deðer=6	 durum=duvar
(1,15)	 deðer=7	 durum=bos
(1,16)	 deðer=8	 durum=bos
(1,17)	 deðer=9	 durum=bos
(1,18)	 deðer=2	 durum=bos
(1,19)	 deðer=4	 durum=bos
(1,20)	 deðer=5	 durum=duvar
(1,21)	 deðer=3	 durum=duvar
(1,22)	 deðer=5	 durum=bos
(1,23)	 deðer=9	 durum=bos
(1,24)	 deðer=4	 durum=bos
(1,25)	 deðer=4	 durum=bos
(1,26)	 deðer=8	 durum=bos
(1,27)	 deðer=1	 durum=bos
(1,28)	 deðer=2	 durum=bos
(1,29)	 deðer=1	 durum=bos
(1,30)	 deðer=2	 durum=bos
(1,31)	 deðer=4	 durum=bos
(1,32)	 deðer=5	 durum=bos
(1,33)	 deðer=5	 durum=bos
(1,34)	 deðer=8	 durum=duvar
(1,35)	 deðer=7	 durum=bos
(1,36)	 deðer=4	 durum=bos
(1,37)	 deðer=6	 durum=duvar
(1,38)	 deðer=2	 durum=bos
(1,39)	 deðer=4	 durum=bos
(1,40)	 deðer=1	 durum=duvar
(1,41)	 deðer=2	 durum=duvar
(1,42)	 deðer=9	 durum=duvar
(1,43)	 deðer=9	 durum=bos
(1,44)	 deðer=7	 durum=duvar
(1,45)	 deðer=3	 durum=bos
(1,46)	 deðer=8	 durum=duvar
(1,47)	 deðer=4	 durum=bos
(1,48)	 deðer=5	 durum=bos
(1,49)	 deðer=8	 durum=duvar
(2,0)	 deðer=3	 durum=duvar
(2,1)	 deðer=3	 durum=bos
(2,2)	 deðer=8	 durum=bos
(2,3)	 deðer=6	 durum=bos
(2,4)	 deðer=8	 durum=bos
(2,5)	 deðer=3	 durum=bos
(2,6)	 deðer=4	 durum=bos
(2,7)	 deðer=7	 durum=bos
(2,8)	 deðer=6	 durum=duvar
(2,9)	 deðer=3	 durum=bos
(2,10)	 deðer=8	 durum=bos
(2,11)	 deðer=8	 durum=duvar
(2,12)	 deðer=6	 durum=duvar
(2,13)	 deðer=6	 durum=duvar
(2,14)	 deðer=1	 durum=bos
(2,15)	 deðer=2	 durum=bos
(2,16)	 deðer=8	 durum=bos
(2,17)	 deðer=2	 durum=duvar
(2,18)	 deðer=8	 durum=bos
(2,19)	 deðer=5	 durum=bos
(2,20)	 deðer=9	 durum=bos
(2,21)	 deðer=3	 durum=duvar
(2,22)	 deðer=2	 durum=bos
(2,23)	 deðer=9	 durum=bos
(2,24)	 deðer=4	 durum=bos
(2,25)	 deðer=4	 durum=bos
(2,26)	 deðer=1	 durum=bos
(2,27)	 deðer=4	 durum=duvar
(2,28)	 deðer=5	 durum=duvar
(2,29)	 deðer=4	 durum=duvar
(2,30)	 deðer=4	 durum=bos
(2,31)	 deðer=3	 durum=duvar
(2,32)	 deðer=8	 durum=bos
(2,33)	 deðer=9	 durum=duvar
(2,34)	 deðer=5	 durum=duvar
(2,35)	 deðer=2	 durum=bos
(2,36)	 deðer=5	 durum=duvar
(2,37)	 deðer=6	 durum=bos
(2,38)	 deðer=4	 durum=bos
(2,39)	 deðer=2	 durum=duvar
(2,40)	 deðer=8	 durum=bos
(2,41)	 deðer=7	 durum=bos
(2,42)	 deðer=9	 durum=bos
(2,43)	 deðer=3	 durum=bos
(2,44)	 deðer=3	 durum=bos
(2,45)	 deðer=2	 durum=bos
(2,46)	 deðer=7	 durum=duvar
(2,47)	 deðer=5	 durum=duvar
(2,48)	 deðer=1	 durum=bos
(2,49)	 deðer=4	 durum=bos
(3,0)	 deðer=9	 durum=bos
(3,1)	 deðer=5	 durum=bos
(3,2)	 deðer=2	 durum=bos
(3,3)	 deðer=1	 durum=bos
(3,4)	 deðer=4	 durum=bos
(3,5)	 deðer=7	 durum=duvar
(3,6)	 deðer=3	 durum=duvar
(3,7)	 deðer=3	 durum=bos
(3,8)	 deðer=3	 durum=bos
(3,9)	 deðer=8	 durum=bos
(3,10)	 deðer=8	 durum=duvar
(3,11)	 deðer=9	 durum=bos
(3,12)	 deðer=9	 durum=bos
(3,13)	 deðer=3	 durum=bos
(3,14)	 deðer=3	 durum=bos
(3,15)	 deðer=7	 durum=bos
(3,16)	 deðer=9	 durum=bos
(3,17)	 deðer=9	 durum=bos
(3,18)	 deðer=6	 durum=bos
(3,19)	 deðer=9	 durum=bos
(3,20)	 deðer=6	 durum=bos
(3,21)	 deðer=2	 durum=bos
(3,22)	 deðer=3	 durum=duvar
(3,23)	 deðer=8	 durum=bos
(3,24)	 deðer=6	 durum=bos
(3,25)	 deðer=3	 durum=bos
(3,26)	 deðer=9	 durum=bos
(3,27)	 deðer=9	 durum=bos
(3,28)	 deðer=4	 durum=duvar
(3,29)	 deðer=2	 durum=bos
(3,30)	 deðer=6	 durum=duvar
(3,31)	 deðer=6	 durum=bos
(3,32)	 deðer=2	 durum=bos
(3,33)	 deðer=8	 durum=duvar
(3,34)	 deðer=9	 durum=bos
(3,35)	 deðer=8	 durum=bos
(3,36)	 deðer=3	 durum=bos
(3,37)	 deðer=4	 durum=bos
(3,38)	 deðer=3	 durum=bos
(3,39)	 deðer=4	 durum=duvar
(3,40)	 deðer=7	 durum=bos
(3,41)	 deðer=2	 durum=bos
(3,42)	 deðer=4	 durum=bos
(3,43)	 deðer=4	 durum=bos
(3,44)	 deðer=2	 durum=bos
(3,45)	 deðer=8	 durum=duvar
(3,46)	 deðer=7	 durum=duvar
(3,47)	 deðer=3	 durum=duvar
(3,48)	 deðer=9	 durum=bos
(3,49)	 deðer=3	 durum=bos
(4,0)	 deðer=9	 durum=duvar
(4,1)	 deðer=3	 durum=bos
(4,2)	 deðer=5	 durum=bos
(4,3)	 deðer=6	 durum=duvar
(4,4)	 deðer=6	 durum=duvar
(4,5)	 deðer=4	 durum=bos
(4,6)	 deðer=2	 durum=duvar
(4,7)	 deðer=1	 durum=duvar
(4,8)	 deðer=5	 durum=duvar
(4,9)	 deðer=5	 durum=duvar
(4,10)	 deðer=4	 durum=bos
(4,11)	 deðer=2	 durum=bos
(4,12)	 deðer=2	 durum=duvar
(4,13)	 deðer=1	 durum=bos
(4,14)	 deðer=8	 durum=bos
(4,15)	 deðer=9	 durum=bos
(4,16)	 deðer=3	 durum=bos
(4,17)	 deðer=4	 durum=bos
(4,18)	 deðer=5	 durum=bos
(4,19)	 deðer=3	 durum=bos
(4,20)	 deðer=6	 durum=duvar
(4,21)	 deðer=6	 durum=bos
(4,22)	 deðer=5	 durum=bos
(4,23)	 deðer=2	 durum=bos
(4,24)	 deðer=2	 durum=bos
(4,25)	 deðer=5	 durum=bos
(4,26)	 deðer=2	 durum=duvar
(4,27)	 deðer=1	 durum=duvar
(4,28)	 deðer=1	 durum=bos
(4,29)	 deðer=2	 durum=duvar
(4,30)	 deðer=1	 durum=bos
(4,31)	 deðer=1	 durum=bos
(4,32)	 deðer=7	 durum=duvar
(4,33)	 deðer=5	 durum=bos
(4,34)	 deðer=9	 durum=duvar
(4,35)	 deðer=9	 durum=duvar
(4,36)	 deðer=5	 durum=duvar
(4,37)	 deðer=1	 durum=bos
(4,38)	 deðer=1	 durum=bos
(4,39)	 deðer=5	 durum=duvar
(4,40)	 deðer=8	 durum=bos
(4,41)	 deðer=9	 durum=duvar
(4,42)	 deðer=2	 durum=duvar
(4,43)	 deðer=5	 durum=bos
(4,44)	 deðer=1	 durum=duvar
(4,45)	 deðer=9	 durum=bos
(4,46)	 deðer=6	 durum=bos
(4,47)	 deðer=5	 durum=bos
(4,48)	 deðer=8	 durum=duvar
(4,49)	 deðer=8	 durum=bos
(5,0)	 deðer=2	 durum=bos
(5,1)	 deðer=6	 durum=bos
(5,2)	 deðer=3	 durum=duvar
(5,3)	 deðer=5	 durum=bos
(5,4)	 deðer=5	 durum=duvar
(5,5)	 deðer=6	 durum=bos
(5,6)	 deðer=7	 durum=bos
(5,7)	 deðer=1	 durum=bos
(5,8)	 deðer=4	 durum=bos
(5,9)	 deðer=2	 durum=bos
(5,10)	 deðer=9	 durum=bos
(5,11)	 deðer=2	 durum=bos
(5,12)	 deðer=9	 durum=bos
(5,13)	 deðer=7	 durum=duvar
(5,14)	 deðer=8	 durum=bos
(5,15)	 deðer=8	 durum=bos
(5,16)	 deðer=7	 durum=bos
(5,17)	 deðer=5	 durum=bos
(5,18)	 deðer=8	 durum=bos
(5,19)	 deðer=1	 durum=bos
(5,20)	 deðer=6	 durum=duvar
(5,21)	 deðer=2	 durum=bos
(5,22)	 deðer=4	 durum=bos
(5,23)	 deðer=1	 durum=bos
(5,24)	 deðer=9	 durum=duvar
(5,25)	 deðer=2	 durum=bos
(5,26)	 deðer=1	 durum=duvar
(5,27)	 deðer=5	 durum=duvar
(5,28)	 deðer=2	 durum=duvar
(5,29)	 deðer=3	 durum=bos
(5,30)	 deðer=5	 durum=bos
(5,31)	 deðer=4	 durum=bos
(5,32)	 deðer=2	 durum=bos
(5,33)	 deðer=4	 durum=duvar
(5,34)	 deðer=2	 durum=bos
(5,35)	 deðer=7	 durum=bos
(5,36)	 deðer=8	 durum=bos
(5,37)	 deðer=1	 durum=bos
(5,38)	 deðer=7	 durum=duvar
(5,39)	 deðer=3	 durum=bos
(5,40)	 deðer=3	 durum=duvar
(5,41)	 deðer=2	 durum=duvar
(5,42)	 deðer=2	 durum=bos
(5,43)	 deðer=2	 durum=duvar
(5,44)	 deðer=7	 durum=duvar
(5,45)	 deðer=3	 durum=duvar
(5,46)	 deðer=3	 durum=bos
(5,47)	 deðer=2	 durum=duvar
(5,48)	 deðer=1	 durum=bos
(5,49)	 deðer=3	 durum=bos
(6,0)	 deðer=6	 durum=bos
(6,1)	 deðer=4	 durum=bos
(6,2)	 deðer=7	 durum=duvar
(6,3)	 deðer=4	 durum=bos
(6,4)	 deðer=6	 durum=bos
(6,5)	 deðer=3	 durum=bos
(6,6)	 deðer=1	 durum=bos
(6,7)	 deðer=5	 durum=bos
(6,8)	 deðer=2	 durum=duvar
(6,9)	 deðer=8	 durum=bos
(6,10)	 deðer=9	 durum=bos
(6,11)	 deðer=1	 durum=bos
(6,12)	 deðer=6	 durum=bos
(6,13)	 deðer=6	 durum=bos
(6,14)	 deðer=3	 durum=bos
(6,15)	 deðer=7	 durum=duvar
(6,16)	 deðer=1	 durum=bos
(6,17)	 deðer=1	 durum=bos
(6,18)	 deðer=2	 durum=bos
(6,19)	 deðer=4	 durum=bos
(6,20)	 deðer=6	 durum=bos
(6,21)	 deðer=4	 durum=duvar
(6,22)	 deðer=4	 durum=bos
(6,23)	 deðer=3	 durum=duvar
(6,24)	 deðer=1	 durum=bos
(6,25)	 deðer=8	 durum=bos
(6,26)	 deðer=2	 durum=duvar
(6,27)	 deðer=1	 durum=bos
(6,28)	 deðer=5	 durum=duvar
(6,29)	 deðer=9	 durum=bos
(6,30)	 deðer=9	 durum=bos
(6,31)	 deðer=1	 durum=bos
(6,32)	 deðer=3	 durum=bos
(6,33)	 deðer=6	 durum=bos
(6,34)	 deðer=6	 durum=bos
(6,35)	 deðer=6	 durum=bos
(6,36)	 deðer=9	 durum=duvar
(6,37)	 deðer=3	 durum=bos
(6,38)	 deðer=5	 durum=bos
(6,39)	 deðer=5	 durum=bos
(6,40)	 deðer=1	 durum=bos
(6,41)	 deðer=2	 durum=duvar
(6,42)	 deðer=4	 durum=duvar
(6,43)	 deðer=6	 durum=bos
(6,44)	 deðer=6	 durum=bos
(6,45)	 deðer=9	 durum=duvar
(6,46)	 deðer=5	 durum=bos
(6,47)	 deðer=2	 durum=duvar
(6,48)	 deðer=3	 durum=bos
(6,49)	 deðer=7	 durum=bos
(7,0)	 deðer=8	 durum=bos
(7,1)	 deðer=2	 durum=bos
(7,2)	 deðer=4	 durum=duvar
(7,3)	 deðer=6	 durum=duvar
(7,4)	 deðer=2	 durum=duvar
(7,5)	 deðer=4	 durum=bos
(7,6)	 deðer=7	 durum=bos
